sample,feature,original_abundance,counterfactual_abundance,healthy_median_abundance,abs_dist_original_to_healthy,abs_dist_cf_to_healthy,moved_closer_to_healthy
sample_0,Streptococcus infantis [1417],-2.521765946590984,-2.521766,-0.041498422791630615,2.4802675237993537,2.4802675772083695,False
sample_0,Streptococcus infantis [1418],-1.7654508977365484,-1.765451,-0.3285353106559271,1.4369155870806214,1.4369156893440729,False
sample_0,Streptococcus peroris [1419],-1.5335511397528383,-1.5335511,-0.39177724598118946,1.1417738937716488,1.1417738540188105,True
sample_0,Streptococcus australis [1420],-1.8873812938648795,-3.4973257,-0.18276351578647748,1.704617778078402,3.3145621842135227,False
sample_0,Streptococcus parasanguinis [1421],-1.9684214748002502,-2.4341772,0.07382884536678533,2.0422503201670357,2.5080060453667854,False
sample_0,Catonella morbi [1422],-0.46725758200842604,-0.4672576,-0.46725758200842604,0.0,1.7991573952880202e-08,False
sample_0,Weissella cibaria [1428],-0.22457711109983386,-0.22457711,-0.22457711109983386,0.0,1.099833862872046e-09,False
sample_0,Leuconostoc mesenteroides [1430],-1.9889509604173152,-1.988951,-0.4469533507611978,1.5419976096561174,1.5419976492388021,False
sample_0,Leuconostoc citreum [1431],-0.16240211380622382,-0.16240211,-0.16240211380622382,0.0,3.8062238361114e-09,False
sample_0,Leuconostoc gasicomitatum [1434],-0.20112545024802003,-0.20112544,-0.20112545024802003,0.0,1.0248020043679418e-08,False
sample_0,Leuconostoc gelidum [1435],-0.187144376842039,-0.18714438,-0.187144376842039,0.0,3.157961003807941e-09,False
sample_0,Lactobacillus delbrueckii [1438],1.6808470795869654,-1.7072419,-0.8486720127995132,2.5295190923864785,0.8585698872004869,True
sample_0,Lactobacillus johnsonii [1442],-0.5151940576201609,-0.51519406,-0.5151940576201609,0.0,2.37983910356121e-09,False
sample_0,Lactobacillus gasseri [1443],-1.7124258703508368,-1.7124258,-1.7124258703508368,0.0,7.035083671169673e-08,False
sample_0,Lactobacillus crispatus [1444],-0.4973691984767298,-0.4973692,-0.4973691984767298,0.0,1.523270232173246e-09,False
sample_0,Lactobacillus casei [1452],-1.6878432212692194,-1.6878432,-1.6878432212692194,0.0,2.1269219274699935e-08,False
sample_0,Lactobacillus rhamnosus [1453],-0.6919948016415407,-0.6919948,-0.6919948016415407,0.0,1.6415406811631783e-09,False
sample_0,Lactobacillus fermentum [1454],-0.7327120412083433,-0.73271203,-0.7327120412083433,0.0,1.1208343364543794e-08,False
sample_0,Lactobacillus oris [1455],-0.3993602989904824,-0.3993603,-0.3993602989904824,0.0,1.0095175806412726e-09,False
sample_0,Lactobacillus reuteri [1457],1.8168850215779588,-0.68959403,-0.6895940075985388,2.506479029176498,2.2401461130527878e-08,True
sample_0,Lactobacillus vaginalis [1458],-0.5467342472809933,-0.5467343,-0.5467342472809933,0.0,5.271900671566243e-08,False
sample_0,Lactobacillus sakei [1464],-0.7789257757333066,-0.7789258,-0.7789257757333066,0.0,2.426669343247312e-08,False
sample_0,Lactobacillus ruminis [1466],-0.5796192869435158,-0.5796193,-0.5796192869435158,0.0,1.3056484116091838e-08,False
sample_0,Lactobacillus salivarius [1467],-0.7684102313906932,-0.7684102,-0.7684102313906932,0.0,3.139069315594156e-08,False
sample_0,Pediococcus acidilactici [1469],-0.2798370737145769,-0.27983707,-0.2798370737145769,0.0,3.7145768683188862e-09,False
sample_0,Pediococcus pentosaceus [1470],-0.19294176371161464,-0.19294177,-0.19294176371161464,0.0,6.288385367980709e-09,False
sample_0,Lactobacillus plantarum [1472],-0.5504862061719719,-0.5504862,-0.5504862061719719,0.0,6.1719718225106135e-09,False
sample_0,Lactobacillus brevis [1473],-0.1259765853018764,-0.12597659,-0.1259765853018764,0.0,4.698123612367766e-09,False
sample_0,Fusobacterium gonidiaformans [1476],-0.36611786000019164,-0.36611786,-0.36611786000019164,0.0,1.9162449405030202e-13,False
sample_0,unnamed Fusobacterium sp. D12 [1477],-0.3500835159073846,-0.35008353,-0.3500835159073846,0.0,1.4092615352456761e-08,False
sample_0,Fusobacterium periodonticum [1478],-0.7493325407834885,0.45779005,-0.7493325407834885,0.0,1.2071225907834886,False
sample_0,Fusobacterium nucleatum [1479],-0.5120637541594496,0.29674858,-0.5120637541594496,0.0,0.8088123341594495,False
sample_0,Fusobacterium nucleatum [1480],-0.7240204185209067,-0.6127164,-0.7240204185209067,0.0,0.11130401852090666,False
sample_0,unclassified Fusobacterium [1481],-1.2097816702244804,3.3177826,0.9137535271933541,2.1235351974178345,2.404029072806646,False
sample_0,unclassified Fusobacterium [1482],-0.7048790943279468,1.6702636,0.34388548930940205,1.048764583637349,1.3263781106905979,False
sample_0,Fusobacterium mortiferum [1485],-0.43908213926526385,-0.43908215,-0.43908213926526385,0.0,1.073473615553766e-08,False
sample_0,Leptotrichia hofstadii [1488],-0.1383858963413372,-0.13838589,-0.1383858963413372,0.0,6.34133717758445e-09,False
sample_0,Peptoniphilus lacrimalis [1492],-0.44566095503001674,-0.44566095,-0.44566095503001674,0.0,5.030016736462528e-09,False
sample_0,Peptoniphilus harei [1493],-0.38037471560031527,-0.38037473,-0.38037471560031527,0.0,1.4399684722388173e-08,False
sample_0,Anaerococcus hydrogenalis [1497],-0.1371724457140597,-0.13717245,-0.1371724457140597,0.0,4.285940297110713e-09,False
sample_0,Anaerococcus vaginalis [1498],-0.6432106478306889,2.29829097,-0.6432106478306889,0.0,2.941501617830689,False
sample_0,Finegoldia magna [1503],-0.4248317383062409,-0.42483175,-0.4248317383062409,0.0,1.1693759127684444e-08,False
sample_0,Finegoldia magna [1504],-0.39055279145356414,-0.3905528,-0.39055279145356414,0.0,8.546435836809252e-09,False
sample_0,Parvimonas micra [1505],-2.805521194893665,3.717335,0.9493354873229569,3.754856682216622,2.7679995126770427,True
sample_0,unnamed Parvimonas sp. oral taxon 110 [1506],-1.1191962043459598,3.2000353,-1.1191962043459598,0.0,4.31923150434596,False
