feature,median_original,median_cf,median_healthy,frac_moved_closer,median_abs_dist_original,median_abs_dist_cf,median_improvement
Cryptobacterium curtum [821],-0.3877960493078471,-0.38779604,-0.3877960493078471,0.2,0.0,9.307847104178535e-09,-9.307847104178535e-09
Leuconostoc gasicomitatum [1434],-0.20112545024802003,-0.20112544,-0.20112545024802003,0.0,0.0,1.0248020043679418e-08,-1.0248020043679418e-08
Staphylococcus aureus [1305],-0.31708021964008337,-0.31708023,-0.31708021964008337,0.1,0.0,1.0359916646773826e-08,-1.0359916646773826e-08
Bacteroides salanitronis [1108],-0.6128303296202221,-0.61283034,-0.6128303296202221,0.4,0.0,1.0379777926061706e-08,-1.0379777926061706e-08
Aggregatibacter segnis [320],-0.5033587894371797,-0.5033588,-0.5033587894371797,0.3,0.0,1.0562820285109353e-08,-1.0562820285109353e-08
Clostridium hylemonae [1607],-0.5493394893610587,-0.5493395,-0.5493394893610587,0.1,0.0,1.0638941283502845e-08,-1.0638941283502845e-08
Fusobacterium mortiferum [1485],-0.43908213926526385,-0.43908215,-0.43908213926526385,0.2,0.0,1.073473615553766e-08,-1.073473615553766e-08
Lactobacillus fermentum [1454],-0.7327120412083433,-0.73271203,-0.7327120412083433,0.2,0.0,1.1208343364543794e-08,-1.1208343364543794e-08
Selenomonas sputigena [1654],-0.2478328886453487,-0.2478329,-0.2478328886453487,0.1,0.0,1.1354651302530883e-08,-1.1354651302530883e-08
[Clostridium] difficile [1532],-0.36794303832371134,-0.36794305,-0.36794303832371134,0.0,0.0,1.1676288658168943e-08,-1.1676288658168943e-08
Finegoldia magna [1503],-0.4248317383062409,-0.42483175,-0.4248317383062409,0.1,0.0,1.1693759127684444e-08,-1.1693759127684444e-08
Bifidobacterium breve [969],-1.074443211833929,-1.0744432,-1.074443211833929,0.3,0.0,1.1833929169924318e-08,-1.1833929169924318e-08
unnamed Desulfovibrio sp. 3_1_syn3 [752],-0.43301408813181175,-0.4330141,-0.43301408813181175,0.1,0.0,1.1868188265484747e-08,-1.1868188265484747e-08
Methanosphaera stadtmanae [94],-0.7746930122629636,-0.774693,-0.7746930122629636,0.3,0.0,1.226296364453816e-08,-1.226296364453816e-08
unnamed Capnocytophaga sp. oral taxon 329 [1086],-1.7744281912538544,-3.0151012,-0.11493156482826736,0.2,2.9001696227207385,2.900169635171733,-1.2450994457680054e-08
unnamed Clostridium sp. 7_2_43FAA [1545],-0.33981628738675757,-0.3398163,-0.33981628738675757,0.1,0.0,1.2613242450498774e-08,-1.2613242450498774e-08
Prevotella denticola [1072],-0.33015884275392665,-0.33015883,-0.33015884275392665,0.4,0.0,1.2753926637021351e-08,-1.2753926637021351e-08
Lactobacillus ruminis [1466],-0.5796192869435158,-0.5796193,-0.5796192869435158,0.1,0.0,1.3056484116091838e-08,-1.3056484116091838e-08
Acidaminococcus fermentans [1658],-1.5314199866158347,-1.53142,-1.5314199866158347,0.2,0.0,1.3384165331586928e-08,-1.3384165331586928e-08
unnamed Fusobacterium sp. D12 [1477],-0.3500835159073846,-0.35008353,-0.3500835159073846,0.1,0.0,1.4092615352456761e-08,-1.4092615352456761e-08
Fusobacterium nucleatum [1479],-0.5120637541594496,-0.51206374,-0.5120637541594496,0.0,0.0,1.415944961280502e-08,-1.415944961280502e-08
Peptoniphilus harei [1493],-0.38037471560031527,-0.38037473,-0.38037471560031527,0.1,0.0,1.4399684722388173e-08,-1.4399684722388173e-08
unnamed Actinomyces sp. oral taxon 848 [897],-0.5369910746835225,-0.53699106,-0.5369910746835225,0.4,0.0,1.468352250899585e-08,-1.468352250899585e-08
Megasphaera micronuciformis [1268],-0.6434961748324323,-0.64349616,-0.6434961748324323,0.1,0.0,1.4832432282396724e-08,-1.4832432282396724e-08
Bacteroides plebeius [1105],-1.79679887633519,-3.4538696,-0.24272454724358794,0.5,3.2111450368035497,3.211145052756412,-1.595286214239877e-08
